State,Total_Establishments,Total_Employees,Aircraft_Employees,Aircraft_Establishments,Aluminum_Employees,Aluminum_Establishments,Chocolate_Employees,Chocolate_Establishments,Paper_Employees,Paper_Establishments,Petro_Employees,Petro_Establishments,Plastics_Employees,Plastics_Establishments,Semiconductor_Employees,Semiconductor_Establishments,Textile_Employees,Textile_Establishments,Tobacco_Employees,Tobacco_Establishments,Vehicle_Employees,Vehicle_Establishments,Wood_Employees,Wood_Establishments
Maryland,15.81935650956579,552.652762830477,8.19602067307292,0.01529425379590634,0.36536272956887367,0.025490422993177234,0.7757585397590272,0.045882761387719025,9.699105948903938,0.11895530730149376,1.6364851561619784,0.0662750997822608,19.466186359123014,0.3483691142400889,0.23196284923791283,0.011895530730149376,4.694486234576807,0.3483691142400889,2.5532907031499192,0.06797446131513929,4.73697027289877,0.05947765365074688,10.564930649905524,0.5200046290608156
Massachusetts,30.757684455828823,1161.8180406563565,4.937449444369547,0.033101900891705026,1.857468029582266,0.054166746913699125,1.9673061552683784,0.09027791152283189,26.921625532037822,0.3836811239720355,1.757410010977794,0.09629643895768734,42.736058683049905,0.833566049727481,14.168365897579108,0.09328717524025962,13.723747183329161,0.433333975309593,4.40706671417291,0.0857640159466903,5.349718573657146,0.0812501203705487,11.309565366022765,0.7929409895422067
Michigan,37.769543960758284,1679.5275088633823,4.614827346165677,0.053625487688397463,4.734725842223697,0.08195593401434331,2.6453554256851923,0.07183791746936265,22.27481342377491,0.28836347153194863,3.761372650596558,0.07082611581486457,95.26264347347461,1.2161855887066746,0.31871752116689056,0.015177024817470982,3.9308494277249846,0.3693076038917939,3.536752683297988,0.13558142170274076,115.04994252966601,0.7467096210195723,29.23094979844911,0.9925774230626022
Minnesota,40.78533757911814,1821.2412804354005,1.6712711829904379,0.05019390649693194,4.1726008567542126,0.057630040792773715,3.031154242342501,0.053911973644852826,41.93700887818664,0.41456448699317866,5.6319422123131595,0.057630040792773715,52.154257400673224,1.1916405209086436,4.523958202232737,0.03346260433128796,6.068815102193864,0.4759125949338733,2.9447091811533403,0.11526008158554743,7.35433681858751,0.17289012237832113,49.800720896039316,1.669412149416477
Mississippi,22.65382793409284,1371.5867663050942,0.006700333609610422,0.003350166804805211,1.4372215592614357,0.02345116763363648,0.04355216846246774,0.013400667219220844,22.08932482748316,0.3115655128468846,15.497871639028908,0.12730633858259804,39.40466195811889,0.6901343617898735,0.2981648456276638,0.006700333609610422,13.333663883124741,0.3517675145045472,0.9145955377118227,0.06365316929129902,21.00387078272627,0.18760934106909183,52.661272004733114,1.5645278978440336
Missouri,30.393617522984105,1281.9246733802859,7.091511972458265,0.0498174357039569,5.940729207696861,0.05812034165461639,1.1341769528600854,0.03985394856316552,28.280527958541267,0.31384984493492846,2.637002929929452,0.11458010211910086,47.52085191800448,0.8070424584041018,1.5526434127733233,0.008302905950659483,5.583704251818502,0.4151452975329742,5.6933026103672075,0.17103986258358536,29.800790038107017,0.28063822113229053,23.390946644197896,1.5161106265904216
Montana,37.30819855124803,533.9549376654618,2.1738243689193855,0.07959082357599581,5.88474651815019,0.06964197062899632,0.8307292210744562,0.1293350883109932,0.5272892061909722,0.039795411787997906,21.99691386581584,0.1293350883109932,6.615987209754651,0.4476983826149764,4.088978561216784,0.02984655884099843,5.705667165104199,0.8257547946009565,4.357597590785771,0.4874937944029743,2.069361412975891,0.18902820599299006,50.10739786756286,2.954809325258844
Nebraska,29.894504250818503,1587.723151129734,2.074884466660379,0.026946551515069857,0.5982134436345509,0.016167930909041915,1.0724727502997804,0.0377251721210978,16.388892631465488,0.20479379151453095,0.191320515756996,0.048503792727125745,63.40523571495938,0.8083965454520958,0.08622896484822354,0.016167930909041915,5.030921167863543,0.5550989612104391,2.5868689454467066,0.1347327575753493,23.12822516538446,0.19940448121151697,15.685587636922165,0.8838468896942914
Nevada,18.63765349695226,459.31377044224735,2.1312602598615187,0.05074429190146473,4.648539597402038,0.036245922786760525,0.9369571040377596,0.047119699622788676,5.237535842686896,0.16310665254042236,0.7792873399153513,0.054368884180140784,25.180042559962537,0.5835593568668445,0.08880251082756328,0.021747553672056316,3.535789767848489,0.3044657514087884,3.466922514553644,0.09786399152425342,0.9061480696690131,0.10873776836028157,7.693197111489921,0.4711969962278868
New Hampshire,42.13617138556452,1604.6498949813663,7.2725593200062395,0.03028655625197809,5.565154711300974,0.11357458594491784,7.204414568439288,0.1665760593858795,18.599731358246043,0.3937252312757152,1.260677903988588,0.1665760593858795,63.556338294776026,1.3023219188350579,4.383979017473829,0.12871786407090688,16.082161369800367,0.6965907937954962,5.769588966001826,0.12114622500791236,10.217926915511107,0.15900442032288498,32.86469935292773,1.7717635407407182
