book_id,title,author,price,description,publisher,max_rank,avg_rank,min_rank,weeks_on_list,start_year,start_month,start_day,keyword_crime,keyword_murder,keyword_mystery,keyword_relationship,keyword_newyork,keyword_starwars
clivecusslerandrobinburcell_thegrayghost,THE GRAY GHOST,Clive Cussler and Robin Burcell,,Sam and Remi Fargo search for a Rolls-Royce prototype that has vanished for a second time.,Putnam,8.0,6.0,3.0,3,2018,6,2,True,False,False,False,False,False
clivecusslerandrobinburcell_theromanovransom,THE ROMANOV RANSOM,Clive Cussler and Robin Burcell,,Sam and Remi Fargo search for two missing filmmakers in North Africa and uncover a group seeking to create the Fourth Reich.,Putnam,12.0,8.333333333333334,4.0,3,2017,9,16,True,False,True,False,False,False
clivecusslerandrussellblake_theeyeofheaven,THE EYE OF HEAVEN,Clive Cussler and Russell Blake,,"The treasure hunters Sam and Remi Fargo discover a Viking ship in the Arctic ice, full of artifacts from pre-Columbian Mexico.",Putnam,16.0,10.25,5.0,4,2014,9,6,False,False,True,False,False,False
clivecusslerandrussellblake_thesolomoncurse,THE SOLOMON CURSE,Clive Cussler and Russell Blake,,The wealthy couple Sam and Remi Fargo investigate a dangerous legend in the Solomon Islands.,Putnam,20.0,14.4,9.0,5,2015,9,5,True,False,True,False,False,False
clivecusslerandthomasperry_themayansecrets,THE MAYAN SECRETS,Clive Cussler and Thomas Perry,,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, discover a Mayan codex. ",Putnam,19.0,9.5,2.0,4,2013,9,7,False,False,True,False,False,False
clivecusslerandthomasperry_thetombs,THE TOMBS,Clive Cussler and Thomas Perry,27.95,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, search for the tomb of Attila the Hun.",Putnam,15.0,10.0,4.0,4,2012,9,8,False,False,False,False,False,False
clivecusslerwithgrantblackwood_lostempire,LOST EMPIRE,Clive Cussler with Grant Blackwood,27.95,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, pursue an important relic.",Putnam,14.0,9.0,4.0,4,2010,9,5,False,False,False,False,False,False
clivecusslerwithgrantblackwood_spartangold,SPARTAN GOLD,Clive Cussler with Grant Blackwood,26.96,Husband-and-wife treasure hunters search for bottles of wine from Napoleon’s “lost cellar.”,Putnam,14.0,7.8,4.0,5,2009,9,5,False,False,False,False,False,False
clivecusslerwithgrantblackwood_thekingdom,THE KINGDOM,Clive Cussler with Grant Blackwood,27.95,"Sam and Remi Fargo, a husband and wife treasure-hunting team, travel to Tibet, Nepal, Bulgaria, India and China, in an adventure involving missing persons, black-market fossils and the ancient Tibetan kingdom of Mustang.",Putnam,18.0,9.25,2.0,4,2011,6,11,True,False,False,False,False,False
clivecusslerwithjackdubrul_corsair,CORSAIR,Clive Cussler with Jack Du Brul,27.95,Juan Cabrillo and the crew of the Oregon search for a missing secretary of state whose plane has been shot down.,Putnam,18.0,7.666666666666667,2.0,6,2009,3,14,True,False,True,False,False,False
clivecusslerwithjackdubrul_mirage,MIRAGE,Clive Cussler with Jack Du Brul,,Juan Cabrillo and the crew of the Oregon probe the disappearance of an American destroyer in 1943. ,Putnam,16.0,9.75,2.0,4,2013,11,9,True,False,False,False,False,False
clivecusslerwithjackdubrul_plagueship,PLAGUE SHIP,Clive Cussler with Jack Du Brul,26.95,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,Putnam,18.0,9.0,3.0,5,2008,6,7,True,False,False,False,False,False
clivecusslerwithjackdubrul_thejungle,THE JUNGLE,Clive Cussler with Jack Du Brul,27.95,Juan Cabrillo and the crew of the Oregon undertake rescue operations from Afghanistan to Myanmar.,Putnam,18.0,7.8,1.0,5,2011,3,12,False,False,False,False,False,False
clivecusslerwithjackdubrul_thesilentsea,THE SILENT SEA,Clive Cussler with Jack Du Brul,27.95,Juan Cabrillo and the crew of the Oregon make discoveries that lead back to an ancient Chinese expedition.,Putnam,18.0,8.333333333333334,3.0,6,2010,3,14,False,False,True,False,False,False
colmtoibin_brooklyn,BROOKLYN,Colm Toibin,,An unsophisticated young Irishwoman leaves her home for New York in the 1950s. Originally published in 2009 and the basis of the 2015 movie.,Scribner,20.0,18.5,17.0,2,2009,5,9,False,False,False,False,True,False
colmtoibin_norawebster,NORA WEBSTER,Colm Toibin,,"In the 1970s, an Irish widow struggles to find her identity.",Scribner,14.0,14.0,14.0,2,2014,10,11,False,False,False,False,False,False
colsonwhitehead_theundergroundrailroad,THE UNDERGROUND RAILROAD,Colson Whitehead,,"A slave girl heads toward freedom on the network, envisioned as actual tracks and tunnels.",Doubleday,18.0,7.7105263157894735,1.0,38,2016,8,6,False,False,False,False,False,False
colsonwhitehead_zoneone,ZONE ONE,Colson Whitehead,25.95,Fighting zombies in post-apocalyptic Manhattan.,Doubleday,19.0,17.5,16.0,2,2011,10,22,False,False,False,False,False,False
colummccann_transatlantic,TRANSATLANTIC,Colum McCann,,"The lives of real and fictional characters (Frederick Douglass, George Mitchell, an Irish maid) are woven into historical events in Dublin, Newfoundland and New York. ",Random House,18.0,15.75,13.0,4,2013,6,8,False,False,False,False,True,False
craigjohnson_anobviousfact,AN OBVIOUS FACT,Craig Johnson,,Sheriff Walt Longmire and his friend Henry Standing Bear investigate a motorcycle accident. The basis of the Netflix series.,Viking,17.0,11.5,6.0,2,2016,9,17,False,False,True,False,False,False
craigjohnson_anyothername,ANY OTHER NAME,Craig Johnson,,"Sheriff Walt Longmire explores a detective’s mysterious death. The 11th book in the Longmire series, the basis of the A&E show.",Viking,20.0,14.0,6.0,3,2014,5,17,True,False,True,False,False,False
craigjohnson_aserpentstooth,A SERPENT'S TOOTH,Craig Johnson,,The search for a boy’s mother leads to a heavily armed polygamist group; a Walt Longmire mystery.,Viking,16.0,16.0,16.0,1,2013,6,8,False,False,True,False,False,False
craigjohnson_asthecrowflies,AS THE CROW FLIES,Craig Johnson,,,Viking,17.0,17.0,17.0,1,2012,5,19,False,False,False,False,False,False
craigjohnson_drybones,DRY BONES,Craig Johnson,,"Sheriff Walt Longmire of Absaroka County, Wyo., investigates the death of a Cheyenne rancher on whose property a valuable dinosaur skeleton was found. The basis of the series “Longmire.”",Viking,20.0,12.666666666666666,5.0,3,2015,5,16,True,False,True,False,False,False
craigjohnson_thehighwayman,THE HIGHWAYMAN,Craig Johnson,,Wyoming’s Sheriff Walt Longmire (the inspiration of the Netflix series “Longmire”) encounters the supernatural in this novella.,Viking,10.0,10.0,10.0,1,2016,5,21,False,False,False,False,False,False
craigjohnson_thespiritofsteamboat,THE SPIRIT OF STEAMBOAT,Craig Johnson,,,Viking,18.0,18.0,18.0,1,2013,10,19,False,False,False,False,False,False
craigjohnson_thewesternstar,THE WESTERN STAR,Craig Johnson,,The 13th Walt Longmire novel. A parole hearing of a serial killer and the decades-old memory of a train ride with Wyoming sheriffs put Longmire on a collision course between past and present.,Viking,7.0,7.0,7.0,1,2017,9,9,True,False,False,False,False,False
craigjohnson_waitforsigns,WAIT FOR SIGNS,Craig Johnson,,"Twelve short stories offer glimpses into the life of straight-talking Sheriff Walt Longmire and the world of Absaroka County, Wyo.",Viking,14.0,14.0,14.0,1,2014,10,25,False,False,False,False,False,False
curtissittenfeld_americanwife,AMERICAN WIFE,Curtis Sittenfeld,26.0,A pretty librarian marries the alcoholic son of a wealthy political family who somehow becomes president.,Random House,19.0,10.333333333333334,3.0,6,2008,9,6,False,False,False,True,False,False
