_id,bestsellers_date,published_date,amazon_product_url,author,description,price,publisher,title,rank,rank_last_week,weeks_on_list,l_author,l_title,book_id
5b4aa4ead3089013507db480,2009-02-07,2009-02-22,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Alex Cross chases the leader of a lethal teenage gang.,0,"Little, Brown",CROSS COUNTRY,18,0,0,jamespatterson,crosscountry,jamespatterson_crosscountry
5b4aa4ead3089013507db481,2009-02-07,2009-02-22,http://www.amazon.com/Dark-Night-Troubleshooters-Book-14/dp/0345501551?tag=NYTBS-20,Suzanne Brockmann,The head of an elite security force fakes the death of a friend who has left a shadowy government agency.,0,Ballantine,DARK OF NIGHT,19,0,0,suzannebrockmann,darkofnight,suzannebrockmann_darkofnight
5b4aa4ead3089013507db482,2009-02-07,2009-02-22,http://www.amazon.com/Kill-Me-Karen-Rose-ebook/dp/B001PC9ZHG?tag=NYTBS-20,Karen Rose,,0,Grand Central,KILL FOR ME,20,0,0,karenrose,killforme,karenrose_killforme
5b4aa4ead3089013507db483,2009-02-14,2009-03-01,http://www.amazon.com/The-Associate-John-Grisham/dp/0385517831?tag=NYTBS-20,John Grisham,"An idealistic law-school graduate is forced to take a job at a large, brutalizing law firm.",27.95,Doubleday,THE ASSOCIATE,1,1,3,johngrisham,theassociate,johngrisham_theassociate
5b4aa4ead3089013507db484,2009-02-14,2009-03-01,http://www.amazon.com/Run-Your-Life-Michael-Bennett/dp/044656267X?tag=NYTBS-20,James Patterson and Michael Ledwidge,A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.,27.99,"Little, Brown",RUN FOR YOUR LIFE,2,2,2,jamespattersonandmichaelledwidge,runforyourlife,jamespattersonandmichaelledwidge_runforyourlife
5b4aa4ead3089013507db485,2009-02-14,2009-03-01,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,3,4,40,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db486,2009-02-14,2009-03-01,http://www.amazon.com/Fool-A-Novel-Christopher-Moore/dp/0060590327?tag=NYTBS-20,Christopher Moore,"King Lear’s fool tries to set things right in this comic, bawdy version.",26.99,Morrow,FOOL,4,0,1,christophermoore,fool,christophermoore_fool
5b4aa4ead3089013507db487,2009-02-14,2009-03-01,http://www.amazon.com/Bone-Crossed-Mercy-Thompson-Book/dp/0441016766?tag=NYTBS-20,Patricia Briggs,A shapeshifter who works as an auto mechanic in Washington State is menaced by a vampire.,24.95,Ace,BONE CROSSED,5,3,2,patriciabriggs,bonecrossed,patriciabriggs_bonecrossed
5b4aa4ead3089013507db488,2009-02-14,2009-03-01,http://www.amazon.com/True-Colors-Kristin-Hannah/dp/0312606125?tag=NYTBS-20,Kristin Hannah,"Rivalries, betrayal and forgiveness among three sisters.",25.95,St. Martin's,TRUE COLORS,6,5,2,kristinhannah,truecolors,kristinhannah_truecolors
5b4aa4ead3089013507db489,2009-02-14,2009-03-01,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,25.95,Ecco,THE STORY OF EDGAR SAWTELLE,7,6,36,davidwroblewski,thestoryofedgarsawtelle,davidwroblewski_thestoryofedgarsawtelle
5b4aa4ead3089013507db48a,2009-02-14,2009-03-01,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20,Mary Ann Shaffer and Annie Barrows,A journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.,22,Dial,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,8,8,22,maryannshafferandanniebarrows,theguernseyliteraryandpotatopeelpiesociety,maryannshafferandanniebarrows_theguernseyliteraryandpotatopeelpiesociety
5b4aa4ead3089013507db48b,2009-02-14,2009-03-01,http://www.amazon.com/Plum-Spooky-Stephanie-Between-Numbers/dp/142720599X?tag=NYTBS-20,Janet Evanovich,"The bounty hunter Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New Jersey’s Pine Barrens.",27.95,St. Martin's,PLUM SPOOKY,9,7,6,janetevanovich,plumspooky,janetevanovich_plumspooky
5b4aa4ead3089013507db48c,2009-02-14,2009-03-01,http://www.amazon.com/Very-Valentine-Novel-Adriana-Trigiani/dp/0061257052?tag=NYTBS-20,Adriana Trigiani,An Italian-American shoemaker and her grandmother return to Italy to learn new techniques; the first book in a trilogy.,25.99,Harper,VERY VALENTINE,10,9,2,adrianatrigiani,veryvalentine,adrianatrigiani_veryvalentine
5b4aa4ead3089013507db48d,2009-02-14,2009-03-01,http://www.amazon.com/Agincourt-Bernard-Cornwell/dp/0061578916?tag=NYTBS-20,Bernard Cornwell,An English archer joins Henry V at the famous battle in 1415.,27.99,Harper,AGINCOURT,11,10,4,bernardcornwell,agincourt,bernardcornwell_agincourt
5b4aa4ead3089013507db48e,2009-02-14,2009-03-01,http://www.amazon.com/The-Women-T-C-Boyle/dp/0670020419?tag=NYTBS-20,T C Boyle,The loves of Frank Lloyd Wright.,27.95,Viking,THE WOMEN,12,0,1,tcboyle,thewomen,tcboyle_thewomen
5b4aa4ead3089013507db48f,2009-02-14,2009-03-01,http://www.amazon.com/Black-Ops-Presidential-Agent-Novel/dp/0399155171?tag=NYTBS-20,W E B Griffin,An Army officer and special presidential agent is targeted for death — but by whom?,26.95,Putnam,BLACK OPS,13,12,7,webgriffin,blackops,webgriffin_blackops
